term_str,n,p,port_stem,stop,df,tf_sum,tf_mean,tf_max,tfidf_sum,tfidf_mean,tfidf_max,tfth_sum,tfth_mean,tfth_max,th_sum,th_mean,th_max
''cause,1,6.196055591010763e-06,''caus,0,1.0,0.0004975485214854278,9.38770795255524e-06,0.0004975103146073576,0.0028499183533540586,5.3772044402906766e-05,0.0028496995073956557,2.7167783343544786e-06,5.125996857272601e-08,2.7165697122521467e-06,0.005460328424338505,0.00010302506461016047,0.005459173688674766
''cod,1,6.196055591010763e-06,''cod,0,1.0,0.0004975485214854278,9.38770795255524e-06,0.0004975103146073576,0.0028499183533540586,5.3772044402906766e-05,0.0028496995073956557,2.7167783343544786e-06,5.125996857272601e-08,2.7165697122521467e-06,0.005460328424338505,0.00010302506461016047,0.005459173688674766
'a,1,6.196055591010763e-06,'a,0,1.0,0.0006840282788874667,1.2906193941272957e-05,0.0006839902584891539,0.0039180595701391804,7.392565226677699e-05,0.0039178417923219945,4.919834202717693e-06,9.282706042863571e-08,4.919560743181306e-06,0.007192442702397515,0.000135706466082972,0.007191293415686113
'about,4,2.478422236404305e-05,'about,0,4.0,0.002671303707524525,5.040195674574575e-05,0.0008305583106716,0.009958407731631185,0.0001878944855024752,0.003096255315060114,7.506222486263868e-05,1.416268393634692e-06,2.333825034628436e-05,0.02809947242284862,0.0005301787249594079,0.008499627209864257
'add,1,6.196055591010763e-06,'add,0,1.0,0.0005235960114953387,9.879170028213939e-06,0.0005235578306647586,0.0029991163041718587,5.658710007871432e-05,0.0029988976074114063,2.988477154016667e-06,5.638636139654088e-08,2.9882592330673e-06,0.005707601067246235,0.00010769058617445726,0.005706447098023028
'afraid,1,6.196055591010763e-06,'afraid,0,1.0,0.0010309552865066798,1.9451986537861884e-05,0.0010309176130353743,0.005905229873321671,0.00011141943157210699,0.005905014082674789,1.0546419643854114e-05,1.9898904988403987e-07,1.0546034253485563e-05,0.010229754657537015,0.00019301423882145312,0.010228615322944421
'after,3,1.8588166773032286e-05,'after,0,3.0,0.0018985005707194038,3.582076548527177e-05,0.0007955390428262644,0.007865408039835611,0.0001484039252799172,0.0032958848050689575,3.812940723355026e-05,7.194227779915143e-07,1.5977573355491326e-05,0.020083958794440495,0.00037894261876302823,0.008190694683000295
'again,1,6.196055591010763e-06,'again,0,1.0,0.0007710424334646154,1.4547970442728594e-05,0.0007710045000804572,0.0044164697259781545,8.332961747128594e-05,0.0044162524465711245,6.148356796754817e-06,1.1600673201424184e-07,6.148054312779629e-06,0.007974083565190679,0.00015045440689039018,0.007972936794450585
'agnes,1,6.196055591010763e-06,'agn,0,1.0,0.001267448819294989,2.391412866594319e-05,0.0012674113823172167,0.007259846017151743,0.00013697822673871214,0.007259631581121004,1.5461066062998337e-05,2.917182276037422e-07,1.546060938531816e-05,0.012198572303375897,0.00023016174157313013,0.012197439651293069
'ah,37,0.0002292540568673982,'ah,0,25.0,0.023531549801271343,0.00044399150568436496,0.0018181486353495435,0.02550971223464859,0.00048131532518204883,0.001970989963656371,0.0055007028972674675,0.00010378684711825411,0.00042500793830374046,0.23375863229247573,0.004410540231933505,0.016551178178329167
'aha,5,3.0980277955053815e-05,'aha,0,5.0,0.0031927246747112652,6.0240088202099344e-05,0.0008097104670328542,0.010874395848615086,0.0002051772801625488,0.002757867664263455,0.00010782855339033105,2.0345010073647367e-06,2.7346519734921372e-05,0.03377320764437121,0.0006372303329126644,0.008315974472162629
'ai,1,6.196055591010763e-06,'ai,0,1.0,0.0007955769516759045,1.5010885880677444e-05,0.0007955390428262644,0.004557001494683449,8.598116027704621e-05,0.004556784355808189,6.51723969008985e-06,1.2296678660546887e-07,6.5169291468306995e-06,0.008191840746971251,0.0001545630329617217,0.008190694683000295
'all,13,8.054872268313991e-05,'all,0,11.0,0.008408311678986194,0.00015864739016955082,0.001517427820143005,0.019074161172765558,0.00035988983344840676,0.003442268069317784,0.0007204849485418819,1.3594055632865697e-05,0.00013002418876122967,0.08568723140252957,0.0016167402151420673,0.014209431420744014
'alone,2,1.2392111182021525e-05,'alon,0,2.0,0.0012942007702018898,2.441888245663943e-05,0.0008305583106716,0.006118878293748958,0.00011545053384431996,0.003926813625731713,1.7646555053426717e-05,3.3295386893257955e-07,1.1324744422815582e-05,0.013635098556365355,0.00025726601049745954,0.008499627209864257
'always,2,1.2392111182021525e-05,'alway,0,2.0,0.0010337497147107821,1.9504711598316644e-05,0.000546147032984825,0.0048874864210799755,9.221672492603728e-05,0.0025821397284479563,1.1665615830302662e-05,2.201059590623144e-07,6.163137346493099e-06,0.011284758451968638,0.0002129199707918611,0.005919372550388014
