term_str,n,p,port_stem,stop,df,tf_sum,tf_mean,tf_max,tfidf_sum,tfidf_mean,tfidf_max,tfth_sum,tfth_mean,tfth_max,th_sum,th_mean,th_max
abbot,2,1.072478067823513e-05,abbot,0,2.0,0.0009942141345836738,1.3435326143022619e-05,0.0007955370606456069,0.005179312169562797,6.999070499409186e-05,0.00414431321806282,1.0623897690989971e-05,1.43566185013378e-07,8.500889343349506e-06,0.010685723851068269,0.0001444016736630847,0.008190677134583673
abbots,2,1.072478067823513e-05,abbot,0,2.0,0.002546958326595908,3.441835576480957e-05,0.002283035791664243,0.013268260626601728,0.00017930081927840173,0.011893368488736645,5.915197611859846e-05,7.99351028629709e-07,5.3022492443730794e-05,0.02322455593439448,0.00031384535046479026,0.020033252799248398
abbé,8,4.289912271294052e-05,abbé,0,7.0,0.00482944596887462,6.526278336317054e-05,0.0012437711041420718,0.01643025061402026,0.00022203041370297646,0.004231431737560756,0.00024082388239794026,3.254376789161355e-06,6.202156273086217e-05,0.04986573697066503,0.0006738613104143923,0.012003713631091257
abbés,2,1.072478067823513e-05,abbé,0,1.0,0.0015960650728215622,2.156844693002111e-05,0.001591073325754949,0.009910691638194672,0.0001339282653810091,0.009879695617571516,2.3775640313892412e-05,3.212924366742218e-07,2.3701281201087598e-05,0.014896410377467403,0.0002013028429387487,0.01479027390045939
abcesses,1,5.362390339117565e-06,abcess,0,1.0,0.0010609434532190412,1.4337073692149207e-05,0.0010559519665670734,0.006587878896332978,8.902539049098618e-05,0.006556884492742422,1.1189324619745912e-05,1.5120708945602583e-07,1.1136681508263824e-05,0.010546579637016499,0.0001425213464461689,0.01044045060025244
abdication,1,5.362390339117565e-06,abdic,0,1.0,0.0013019863237252168,1.7594409780070497e-05,0.0012969950781161195,0.008084623359858413,0.00010925166702511369,0.008053630453012321,1.6333545843479412e-05,2.2072359247945153e-07,1.627093017887012e-05,0.012545097859973056,0.00016952834945909535,0.012438975626094875
abduct,1,5.362390339117565e-06,abduct,0,1.0,0.00226225897669887,3.057106725268743e-05,0.0022572686913624254,0.014047391616787105,0.00018982961644306898,0.014016404672709268,4.513254174412096e-05,6.098992127583913e-07,4.5032984503512376e-05,0.019950210037393334,0.00026959743293774777,0.019844114348388082
abducted,1,5.362390339117565e-06,abduct,0,1.0,0.000629596808954825,8.508064985876014e-06,0.0006246048909562124,0.003909452024353785,5.283043276153764e-05,0.0038784549423363564,4.252873496823334e-06,5.747126347058559e-08,4.21915351055171e-06,0.0067549159022635506,9.128264732788582e-05,0.006648774476411318
abducting,1,5.362390339117565e-06,abduct,0,1.0,0.00039592086021956487,5.350281894858985e-06,0.0003909287085450034,0.0024584521180130844,3.3222325919095736e-05,0.00242745358499575,1.7942249316824532e-06,2.4246282860573693e-08,1.7716016150118664e-06,0.004531776705797807,6.124022575402442e-05,0.004425628399273187
abductor,1,5.362390339117565e-06,abductor,0,1.0,0.000629596808954825,8.508064985876014e-06,0.0006246048909562124,0.003909452024353785,5.283043276153764e-05,0.0038784549423363564,4.252873496823334e-06,5.747126347058559e-08,4.21915351055171e-06,0.0067549159022635506,9.128264732788582e-05,0.006648774476411318
aberrations,1,5.362390339117565e-06,aberr,0,1.0,0.0007238927127607978,9.782333956226998e-06,0.0007189008890580893,0.004494978041606807,6.0742946508200093e-05,0.004463981545115397,5.510882218606379e-06,7.447138133251864e-08,5.4728802440088435e-06,0.007612843894489354,0.00010287626884445074,0.007506705206032399
abeyance,1,5.362390339117565e-06,abey,0,1.0,0.0002738087554635133,3.7001183170745044e-06,0.0002688164816768471,0.0017002026981515863,2.29757121371836e-05,0.0016692034068848313,9.020926999564999e-07,1.2190441891304053e-08,8.856451114507487e-07,0.0032946086710390434,4.452173879782491e-05,0.0031884566934579912
abhorred,1,5.362390339117565e-06,abhor,0,1.0,0.0003310426001813629,4.473548651099499e-06,0.0003260503836285414,0.002055593587862721,2.7778291727874605e-05,0.0020245946519868567,1.2853282176473424e-06,1.7369300238477598e-08,1.265945102602837e-06,0.003882667115782594,5.246847453760262e-05,0.0037765168670215107
ability,2,1.072478067823513e-05,abil,0,2.0,0.0019800596168710184,2.6757562390148897e-05,0.0018017590628210053,0.010315028235254702,0.00013939227344938787,0.00938617981386535,3.7021207373300704e-05,5.002865861256852e-07,3.36875189681551e-05,0.018697016523069803,0.0002526623854468892,0.01642551701053751
abject,1,5.362390339117565e-06,abject,0,1.0,0.00037008746443481494,5.0011819518218235e-06,0.0003650952869268577,0.0022980408516118447,3.105460610286277e-05,0.0022670421581832438,1.5822469861140022e-06,2.1381716028567597e-08,1.5609037670774584e-06,0.0042753325582922845,5.777476430124709e-05,0.004169183480422865
able,21,0.00011261019712146887,abl,0,14.0,0.021057995263497713,0.0002845675035607799,0.006621921504880483,0.050583377647180607,0.0006835591573943325,0.01590650734032503,0.003917732888939387,5.294233633701874e-05,0.0012319748078116043,0.1860449126290028,0.00251412044093247,0.04793300644351568
abode,1,5.362390339117565e-06,abod,0,1.0,0.00029636666916085797,4.004954988660243e-06,0.00029137441793210543,0.001840275011281131,2.4868581233528795e-05,0.0018092758600866884,1.045669534121685e-06,1.413066938002277e-08,1.0280553906980376e-06,0.003528296677498948,4.767968483106687e-05,0.0034221453832209902
aboie,4,2.144956135647026e-05,aboi,0,1.0,0.0018585488768044984,2.5115525362222952e-05,0.001853556797590703,0.011540572578259599,0.00015595368348999457,0.01150957449518401,3.146166138915287e-05,4.251575863399037e-07,3.137715508005742e-05,0.016928078557313264,0.00022875781834207114,0.016821932401681214
abominable,4,2.144956135647026e-05,abomin,0,4.0,0.002920952523341167,3.947233139650226e-05,0.0011904579368060796,0.012295613430220856,0.0001661569382462278,0.0050111771687280475,8.710160444253108e-05,1.1770487086828523e-06,3.5498966685890134e-05,0.029819589242381404,0.0004029674221943433,0.01156442701086597
abomination,2,1.072478067823513e-05,abomin,0,2.0,0.0018521681898668973,2.502929986306618e-05,0.0014792613972390972,0.009648783810412991,0.00013038897041098638,0.0077061432644921985,3.3727640336392957e-05,4.5577892346476966e-07,2.6937076580057115e-05,0.018209815134994155,0.00024607858290532644,0.013906399229488527
abortion,1,5.362390339117565e-06,abort,0,1.0,0.0014842524605820577,2.005746568354132e-05,0.0014792613972390972,0.009216396436804311,0.00012454589779465285,0.009185404661731296,2.079811189086908e-05,2.810555660928254e-07,2.0728174534106594e-05,0.014012516363094304,0.0001893583292310041,0.013906399229488527
abounded,1,5.362390339117565e-06,abound,0,1.0,0.00019867786947433256,2.684836073977467e-06,0.00019368552055678054,0.0012336809652833845,1.6671364395721412e-05,0.0012026812074948962,4.95715343468017e-07,6.69885599281104e-09,4.832590796429397e-07,0.002495070763440307,3.371717247892307e-05,0.002388916488843337
abraham,2,1.072478067823513e-05,abraham,0,1.0,0.0006570926577598466,8.879630510268196e-06,0.0006521004412070254,0.004080186215256952,5.513765155752638e-05,0.004049187279381087,4.604300975064547e-06,6.222028344681821e-08,4.569320113126064e-06,0.007007080235474677,9.46902734523605e-05,0.00690092998671359
abreast,2,1.072478067823513e-05,abreast,0,2.0,0.0007968009219903495,1.0767580026896615e-05,0.0006218858630136564,0.00415089724479888,5.609320601079567e-05,0.0032396854021135564,7.057904551992411e-06,9.537708854043799e-08,5.50854164729113e-06,0.00885780168823385,0.00011970002281397095,0.006623745230890703
abri,1,5.362390339117565e-06,abri,0,1.0,0.0005487622758705566,7.415706430683197e-06,0.0005437702770374111,0.00340751376083463,4.6047483254522026e-05,0.003376516176878939,3.2943173555431488e-06,4.4517802101934445e-08,3.2643495003934936e-06,0.0060031775149212655,8.112402047190899e-05,0.005897033726169877
abroad,2,1.072478067823513e-05,abroad,0,2.0,0.0005247279270528161,7.090917933146164e-06,0.0003260503836285414,0.002733545665624797,3.693980629222699e-05,0.0016985442683583154,3.2908717849765352e-06,4.4471240337520744e-08,2.044850202638329e-06,0.006271577355259181,8.475104534134029e-05,0.0037765168670215107
abrogated,2,1.072478067823513e-05,abrog,0,2.0,0.0026158023115950947,3.53486798864202e-05,0.0018017590628210053,0.013626900155959057,0.00018414729940485213,0.00938617981386535,6.498116928692846e-05,8.78123909282817e-07,4.475889105091992e-05,0.024841773783471993,0.0003356996457225945,0.01642551701053751
abrupt,8,4.289912271294052e-05,abrupt,0,7.0,0.0044910520432245495,6.0689892476007425e-05,0.0012531125404711086,0.015279001166252151,0.0002064729887331372,0.004263212223556493,0.00020995889126477409,2.837282314388839e-06,5.858362742071285e-05,0.046750491698605366,0.0006317634013325049,0.012080341097160115
abruptly,30,0.00016087171017352696,abruptli,0,20.0,0.019946751930674213,0.00026955070176586777,0.002590584085974975,0.03764999833836115,0.0005087837613292047,0.004889792928258763,0.0038441468874378516,5.194793091132232e-05,0.000499258515138616,0.19272044394988957,0.0026043303236471566,0.02225961156350001
absence,5,2.6811951695587826e-05,absenc,0,5.0,0.0028460664825457286,3.8460357872239575e-05,0.0012969950781161195,0.011064155373107142,0.0001495156131500965,0.005042101142203874,8.484429422804559e-05,1.1465445165952108e-06,3.866481429540637e-05,0.029811072491937953,0.0004028523309721345,0.012438975626094875
absences,1,5.362390339117565e-06,absenc,0,1.0,0.0003310426001813629,4.473548651099499e-06,0.0003260503836285414,0.002055593587862721,2.7778291727874605e-05,0.0020245946519868567,1.2853282176473424e-06,1.7369300238477598e-08,1.265945102602837e-06,0.003882667115782594,5.246847453760262e-05,0.0037765168670215107
absent,3,1.6087171017352694e-05,absent,0,2.0,0.001988293673626572,2.686883342738611e-05,0.0012531125404711086,0.010357923169932698,0.00013997193472882024,0.006528031341469061,3.935753010064332e-05,5.318585148735584e-07,2.4804894360061272e-05,0.019794626227853288,0.00026749494902504443,0.012080341097160115
absolute,2,1.072478067823513e-05,absolut,0,2.0,0.0008408653501833321,1.136304527274773e-05,0.00048756426651304894,0.004380448828553327,5.919525443990983e-05,0.0025399433091468134,7.964276651948271e-06,1.0762536016146312e-07,4.6179768297832e-06,0.009471524365003084,0.00012799357250004167,0.005364240560353737
absolutely,7,3.753673237382296e-05,absolut,0,5.0,0.002740594913163441,3.703506639410055e-05,0.0011904670635666,0.010654131981788727,0.00014397475651065848,0.00462797079360069,7.978312514479002e-05,1.0781503397944596e-06,3.465641064175049e-05,0.02911160812624335,0.0003934001098140993,0.011564502503477726
absorbed,13,6.971107440852834e-05,absorb,0,12.0,0.01002978886479089,0.00013553768736203906,0.00246909521483167,0.026323089252597593,0.0003557174223323999,0.006480117835913264,0.0009881220385655014,1.3353000521155424e-05,0.0002432521192601056,0.09851872775051701,0.0013313341587907705,0.021386813408244602
absorbing,1,5.362390339117565e-06,absorb,0,1.0,0.0005705990131228019,7.710797474632458e-06,0.0005656070361263938,0.00354310796245994,4.787983733053973e-05,0.0035121105140984515,3.5422000778668183e-06,4.786756861982187e-08,3.511210572279325e-06,0.006207862257736641,8.38900305099546e-05,0.0061017191089108875
absorbs,1,5.362390339117565e-06,absorb,0,1.0,0.0006117836074248389,8.267346046281606e-06,0.0006067916716130251,0.003798841780160787,5.133569973190253e-05,0.0037678445875331157,4.0320380973994795e-06,5.4487001316209185e-08,3.999138106081094e-06,0.006590627876368582,8.90625388698457e-05,0.006484485931182892
absorption,1,5.362390339117565e-06,absorpt,0,1.0,0.00026392481796517375,3.5665515941239694e-06,0.00025893253429457003,0.001638828849186856,2.2146335799822378e-05,0.0016078294965462515,8.422813960340582e-07,1.1382181027487272e-08,8.263491783218579e-07,0.0031913686728210692,4.3126603686771206e-05,0.00308521639499743
abstain,1,5.362390339117565e-06,abstain,0,1.0,0.0008005288077122205,1.0817956860975952e-05,0.0007955370606456069,0.004970846299331577,6.717359863961591e-05,0.004939850278708426,6.6418383082980134e-06,8.975457173375693e-08,6.600422713290111e-06,0.008296813611591685,0.0001121191028593471,0.008190677134583673
abstained,1,5.362390339117565e-06,abstain,0,1.0,0.0002738087554635133,3.7001183170745044e-06,0.0002688164816768471,0.0017002026981515863,2.29757121371836e-05,0.0016692034068848313,9.020926999564999e-07,1.2190441891304053e-08,8.856451114507487e-07,0.0032946086710390434,4.452173879782491e-05,0.0031884566934579912
abstracted,1,5.362390339117565e-06,abstract,0,1.0,0.0006861850862256998,9.27277143548243e-06,0.0006811932248153648,0.004260834293108565,5.757884179876439e-05,0.004229837562473405,4.9899742639630206e-06,6.743208464814893e-08,4.953673183588549e-06,0.007272052925851144,9.827098548447493e-05,0.007165913145030271
abstraction,1,5.362390339117565e-06,abstract,0,1.0,0.0009386873976043627,1.2684964832491388e-05,0.000933695788696339,0.005828735620327892,7.876669757199855e-05,0.00579774045759406,8.920868586928439e-06,1.2055227820173565e-07,8.873430550347287e-06,0.009503556359332735,0.00012842643728828022,0.009397423842787833
absurd,3,1.6087171017352694e-05,absurd,0,3.0,0.0019104872044813223,2.5817394655153003e-05,0.0007189008890580893,0.008835030624647107,0.00011939230573847443,0.003324550594223225,3.8843768116401024e-05,5.249157853567706e-07,1.4616595896452627e-05,0.020331865099796204,0.00027475493378102976,0.007506705206032399
absurdities,1,5.362390339117565e-06,absurd,0,1.0,0.0008005288077122205,1.0817956860975952e-05,0.0007955370606456069,0.004970846299331577,6.717359863961591e-05,0.004939850278708426,6.6418383082980134e-06,8.975457173375693e-08,6.600422713290111e-06,0.008296813611591685,0.0001121191028593471,0.008190677134583673
