term_str,n,p,port_stem,stop,df,tf_sum,tf_mean,tf_max,tfidf_sum,tfidf_mean,tfidf_max,tfth_sum,tfth_mean,tfth_max,th_sum,th_mean,th_max
'adèle,1,7.965525206904518e-06,'adèl,0,1.0,0.001756304295061132,5.611195830866236e-06,0.0017390983870120323,0.014559795707005512,4.65169191917109e-05,0.014417158404999865,2.866524598599933e-05,9.158225554632374e-08,2.8384422447602915e-05,0.016321343668411172,5.214486795019544e-05,0.015943088345214494
'ah,2,1.5931050413809036e-05,'ah,0,2.0,0.006017684812124085,1.9225830070683978e-05,0.004974852865266876,0.043869035695284796,0.00014015666356321022,0.03626677114851226,0.0002926108264423929,9.348588704229804e-07,0.00024190296663630407,0.04862514996678745,0.00015535191682679696,0.038063248127709184
'all,1,7.965525206904518e-06,'all,0,1.0,0.006004831073844541,1.918476381419981e-05,0.005987629414322231,0.04978016277481802,0.00015904205359366778,0.049637560693179414,0.00026775299500726615,8.554408786174638e-07,0.0002669859799489645,0.044589596562262516,0.00014245877495930515,0.04421145418721233
'ami,1,7.965525206904518e-06,'ami,0,1.0,0.002504700712357111,8.002238697626554e-06,0.0024874955527044297,0.02076401611136599,6.63387096209776e-05,0.020621385013580792,5.4847394113569686e-05,1.7523129109766672e-07,5.447063925116154e-05,0.02189778357269444,6.996096988081291e-05,0.02151954874266819
'athée,1,7.965525206904518e-06,'athé,0,1.0,0.002614534881580718,8.353146586519866e-06,0.002597329831762206,0.02167454344426688,6.924774263344051e-05,0.021531913257009015,5.931349929843234e-05,1.8949999775856976e-07,5.8923184478947877e-05,0.022686061569227176,7.247942993363315e-05,0.02230782971664853
'barbaroux,1,7.965525206904518e-06,'barbaroux,0,1.0,0.0016300818126017112,5.207929113743486e-06,0.0016128757783301295,0.013513408948510294,4.317383050642266e-05,0.013370770600117888,2.5004696673100366e-05,7.988720981821204e-08,2.4740764111813e-05,0.015339534788865164,4.900809836698136e-05,0.014961275968044837
'battalion,1,7.965525206904518e-06,'battalion,0,1.0,0.0014316124557509568,4.573841711664399e-06,0.001414406223010018,0.011868094239678943,3.791723399258448e-05,0.01172545424597183,1.9708222119135773e-05,6.296556587583313e-08,1.9471353366471775e-05,0.013766450578133424,4.398227021767867e-05,0.013388186228419053
'biddies,1,7.965525206904518e-06,'biddi,0,1.0,0.016680771835886565,5.32932007536312e-05,0.01666358085230498,0.13828391290088207,0.00044180163866096506,0.1381413993229938,0.001648265028313096,5.2660224546744275e-06,0.001646566348101019,0.09881227586645992,0.00031569417209731604,0.09843440050256265
'bir,1,7.965525206904518e-06,'bir,0,1.0,0.016680771835886565,5.32932007536312e-05,0.01666358085230498,0.13828391290088207,0.00044180163866096506,0.1381413993229938,0.001648265028313096,5.2660224546744275e-06,0.001646566348101019,0.09881227586645992,0.00031569417209731604,0.09843440050256265
'birds,1,7.965525206904518e-06,'bird,0,1.0,0.016680771835886565,5.32932007536312e-05,0.01666358085230498,0.13828391290088207,0.00044180163866096506,0.1381413993229938,0.001648265028313096,5.2660224546744275e-06,0.001646566348101019,0.09881227586645992,0.00031569417209731604,0.09843440050256265
