term_str,n,p,port_stem,stop,df,tf_sum,tf_mean,tf_max,tfidf_sum,tfidf_mean,tfidf_max,tfth_sum,tfth_mean,tfth_max,th_sum,th_mean,th_max
abode,2,1.1526314576177413e-05,abod,0,2.0,0.001691232230318306,2.8187203838638436e-05,0.0008795005102074101,0.008298691525938918,0.0001383115254323153,0.004315612782369635,2.9195223807690395e-05,4.865870634615065e-07,1.5182547833570163e-05,0.0172626936054758,0.00028771156009126336,0.008927834274285224
abominable,3,1.728947186426612e-05,abomin,0,3.0,0.0017297903995151475,2.8829839991919125e-05,0.0006944402479076427,0.007476029725930948,0.00012460049543218247,0.003001320817652586,3.208114552717321e-05,5.346857587862202e-07,1.2879270609488802e-05,0.018546261752964647,0.0003091043625494108,0.007285971119530288
abridge,1,5.763157288088707e-06,abridg,0,1.0,0.0008857826056824349,1.4763043428040582e-05,0.0008857325216127242,0.005232220943259181,8.720368238765301e-05,0.00523192510213882,7.957496912174064e-06,1.3262494853623439e-07,7.957046978039536e-06,0.008983577754999333,0.00014972629591665556,0.008982072925291698
abruptly,1,5.763157288088707e-06,abruptli,0,1.0,0.0007536247130229711,1.2560411883716185e-05,0.000753574496795368,0.004451578729973554,7.419297883289257e-05,0.004451282108210981,5.892638357569206e-06,9.82106392928201e-08,5.892245713772061e-06,0.007819062002269552,0.00013031770003782588,0.007817553373929238
absence,21,0.00012102630304986284,absenc,0,15.0,0.014285332392386094,0.00023808887320643488,0.0020768223643484744,0.028570664784772187,0.00047617774641286976,0.004153644728696949,0.0020088103499593234,3.3480172499322055e-05,0.0002920437653067002,0.1406204836388682,0.00234367472731447,0.018507408234772472
absent,10,5.763157288088707e-05,absent,0,8.0,0.007271336574235767,0.00012118894290392945,0.0020833193548438216,0.021136979905150215,0.00035228299841917024,0.0060559814402447116,0.0005224674990863425,8.707791651439042e-06,0.00014969278921569157,0.07185302093394771,0.0011975503488991285,0.01855591773593748
absolute,8,4.610525830470965e-05,absolut,0,8.0,0.005192631037395294,8.65438506232549e-05,0.0008873043486772808,0.015094410329069283,0.00025157350548448803,0.0025792966666125295,0.00028321568138535,4.7202613564225e-06,4.839521697133243e-05,0.054541845809136374,0.0009090307634856062,0.008995742896054676
absolutely,7,4.0342101016620945e-05,absolut,0,6.0,0.004903966722122462,8.173277870204102e-05,0.001164816066648487,0.01629062483061129,0.00027151041384352155,0.003869435217175799,0.00024475339143804735,4.079223190634122e-06,5.8135117725748825e-05,0.049909268416103145,0.0008318211402683857,0.011351927118904879
absolution,2,1.1526314576177413e-05,absolut,0,2.0,0.0020036133051479343,3.33935550857989e-05,0.0011918818974181124,0.009831511284266495,0.00016385852140444158,0.0058484340735169725,3.989405398194079e-05,6.649008996990132e-07,2.3731625575417857e-05,0.019911054632867537,0.0003318509105477923,0.011576204176289481
absolve,1,5.763157288088707e-06,absolv,0,1.0,0.0007536247130229711,1.2560411883716185e-05,0.000753574496795368,0.004451578729973554,7.419297883289257e-05,0.004451282108210981,5.892638357569206e-06,9.82106392928201e-08,5.892245713772061e-06,0.007819062002269552,0.00013031770003782588,0.007817553373929238
